title,body,expected_subject,expected_result,note
The Secret Life of the Red Fox,"Few sights compare to a red fox trotting across a snow-dusted field at dawn. As a wild animal, Vulpes vulpes -- its scientific name -- has adapted to everything from dense forests to city parks. Naturalists often describe the wild fox species as opportunistic hunters, equally at home stalking rodents in fields as they are scavenging near suburban bins.",red fox,accepted,Primary Probe 2/3 post; also proves 4.2 synonym matching (Vulpes vulpes / wild fox species)
Wolves and Pack Behavior,"The wolf remains one of the most studied wild animals on the planet, prized for its complex pack dynamics. Canis lupus travels in tightly bonded family units, communicating through howls that can carry for miles. Understanding this social carnivore has reshaped how conservationists think about apex predators in modern ecosystems.",wolf,accepted,Also used as the forced wrong candidate in the fox post's Probe 3 scenario
Why Cats Make Great Companions,"The domestic cat is one of the most popular pets and, biologically speaking, still very much a small wild animal at heart. Independent yet affectionate, cats spend much of their day resting, grooming, and quietly observing their surroundings. Their sharp reflexes and keen senses trace directly back to their hunting instincts.",cat,accepted,Same-category (animal) distractor pool with fox/wolf/tiger
The Tiger's Vanishing Habitat,"The tiger is the largest living wild animal in the cat family, instantly recognizable by its bold orange-and-black stripes. Habitat loss across Asia has pushed several tiger subspecies toward extinction, making conservation efforts more urgent than ever. A single tiger can require dozens of square miles of territory to survive.",tiger,accepted,Same-category (animal) distractor pool with fox/wolf/cat
Growing Cactus Indoors,"The cactus is a favorite low-maintenance plant for anyone new to indoor gardening. Native to arid regions, this hardy species stores water in its thick stems, allowing it to survive weeks without watering. A sunny windowsill and well-draining soil are usually all a healthy cactus needs to thrive.",cactus,accepted,Plant category coverage
The Blooming Season for Garden Flowers,"Every spring, gardeners wait eagerly for their favorite flower to bloom after months of dormancy. As a flowering plant, it depends on pollinators like bees to complete its reproductive cycle. Choosing the right soil and sunlight can dramatically extend how long each bloom lasts.",flower,accepted,Plant category coverage; same-category pair with cactus
What to Look for When Buying a Car,"Buying a car is one of the biggest purchases most people make, and as a vehicle it deserves careful research beforehand. Fuel efficiency, safety ratings, and resale value all matter as much as looks. A well-maintained car can comfortably last well over a decade of daily driving.",car,accepted,Vehicle category coverage
How Commercial Planes Stay in the Air,"A commercial plane is an extraordinary vehicle, capable of carrying hundreds of passengers across oceans in a matter of hours. Modern aircraft rely on powerful jet engines and precisely engineered wings to generate enough lift at cruising altitude. Despite their size, today's planes are remarkably fuel-efficient compared to those of decades past.",plane,accepted,Vehicle category coverage; same-category pair with car
Choosing a Jacket for Winter,"A good winter jacket is one of the most important pieces of clothing you can own once temperatures drop. Insulated jackets trap body heat while staying lightweight enough for daily wear. Whether you prefer down or synthetic fill, a quality jacket should keep you warm through the harshest months.",jacket,accepted,Clothing category coverage
The Rise of Running Shoes,Running shoes are a category of clothing built specifically around cushioning and support for repetitive impact. Modern shoes use foam midsoles and breathable mesh uppers to reduce injury risk over long distances. Runners often replace their shoes every few hundred miles as the cushioning compresses over time.,shoes,accepted,Clothing category coverage; same-category pair with jacket
Setting Up a Home Office Desk,"A sturdy desk is the centerpiece of any home office, and as a piece of furniture it should support both your posture and your workflow. Adjustable-height desks have become popular for reducing the strain of sitting all day. Keeping cables organized and surfaces clear can make even a small desk feel spacious.",desk,accepted,Furniture category coverage
Organizing a Home Library with a Bookshelf,"A tall bookshelf is essential furniture for anyone who collects physical books rather than reading digitally. Arranging titles by color, author, or genre can turn a simple bookshelf into a design feature. Sturdy shelving also prevents sagging under the weight of a growing collection.",bookshelf,accepted,Furniture category coverage; same-category pair with desk
Brewing the Perfect Cup of Coffee,"Coffee remains the world's most popular beverage after water, consumed by billions of people every morning. Roast level, grind size, and water temperature all shape the final flavor of a brewed cup. Specialty coffee culture has turned what used to be a simple drink into a genuine craft.",coffee,accepted,Beverage category coverage
Why Smoothies Make a Great Breakfast,"A smoothie is a quick, nutrient-dense beverage that blends fruit, liquid, and sometimes protein into one drink. Unlike juice, a smoothie retains the fiber from whole fruit, making it more filling. Many people rely on a smoothie as a fast breakfast option before a busy morning.",smoothie,accepted,Beverage category coverage; same-category pair with coffee
What Specs Actually Matter in a Laptop,"Buying a laptop can be overwhelming given how many specs are thrown at shoppers, but as an electronic device, only a few really matter day-to-day. RAM and storage type affect responsiveness far more than raw processor speed for most users. Battery life is often the single biggest factor in how usable a laptop feels away from a desk.",laptop,accepted,Electronic device category coverage
Choosing Headphones for Focus,"Good headphones have become an essential electronic device for anyone working in noisy or shared spaces. Active noise cancellation blocks out background distractions, making it easier to focus during long work sessions. Comfort matters just as much as sound quality when headphones are worn for hours at a time.",headphones,accepted,Electronic device category coverage; same-category pair with laptop
Lions of the Serengeti,"The lion is one of Africa's most iconic wild animals, known for living in social groups called prides. Unlike most cats, lions cooperate closely during hunts, allowing them to take down prey much larger than themselves. Conservationists continue tracking lion populations across East Africa as habitat pressure grows.",,no_confident_match,"Category 'animal' found via keyword scan, but 'lion' is not in the subject enum -- every candidate fails the subject gate. Tests Probe 4's 'subjects don't match' path."
A Brief History of Chess,"Chess is a two-player strategy game believed to have originated in India over a thousand years ago. Each piece moves according to strict rules, and mastering the interplay between pawns, knights, and bishops takes years of practice. Today millions of players compete online, using engines to study openings recorded centuries ago.",,no_confident_match,"No category or subject keyword appears anywhere in the text -- expected category set is empty, so every candidate fails gate 1 by definition. Tests the empty-keyword-set path."
